doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-3325,полотенца,текстиль,5,94.01,90.83,3,3
20250603005832-9012,порошок,бытовая химия,8,33.3,13.06,3,3
20250603005832-4655,сковорода,посуда,8,56.9,42.61,3,3
20250603005832-7865,кастрюля,посуда,9,69.12,26.04,3,3
20250603005832-2665,средство для мытья посуды,бытовая химия,7,39.64,10.61,3,3
20250603005832-7018,тарелки,посуда,9,94.42,25.69,3,3
20250603005832-3437,простыни,текстиль,3,23.73,3.8,3,3
20250603005832-2458,средство для мытья посуды,бытовая химия,6,37.3,12.91,3,3
20250603005832-6433,порошок,бытовая химия,3,23.08,3.45,3,3
20250603005832-7258,простыни,текстиль,9,64.79,58.03,3,3
20250603005832-8856,наволочки,текстиль,3,25.72,6.88,3,3
20250603005832-6232,кастрюля,посуда,9,85.03,24.01,3,3
20250603005832-9955,полотенца,текстиль,4,39.01,13.81,3,3
20250603005832-6168,сковорода,посуда,10,63.36,48.83,3,3
20250603005832-7967,кастрюля,посуда,7,15.07,11.3,3,3
20250603005832-6353,простыни,текстиль,7,93.72,19.33,3,3
20250603005832-3933,наволочки,текстиль,5,59.29,50.24,3,3
20250603005832-3533,наволочки,текстиль,10,70.71,63.87,3,3
20250603005832-5712,порошок,бытовая химия,1,35.76,14.11,3,3
20250603005832-6062,средство для мытья посуды,бытовая химия,2,40.85,35.9,3,3
20250603005832-8757,тарелки,посуда,3,46.36,18.16,3,3
20250603005832-7457,простыни,текстиль,7,52.22,35.68,3,3
20250603005832-9929,простыни,текстиль,2,12.0,7.58,3,3
20250603005832-5566,порошок,бытовая химия,3,15.39,1.49,3,3
20250603005832-5655,наволочки,текстиль,5,85.13,43.66,3,3
20250603005832-6241,средство для мытья посуды,бытовая химия,8,61.44,30.65,3,3
20250603005832-9250,средство для мытья посуды,бытовая химия,7,43.98,38.2,3,3
20250603005832-3243,средство для мытья посуды,бытовая химия,8,32.15,12.02,3,3
20250603005832-2419,простыни,текстиль,3,66.67,37.75,3,3
20250603005832-7186,тарелки,посуда,2,97.9,6.33,3,3
20250603005832-5758,сковорода,посуда,7,83.36,22.82,3,3
20250603005832-9754,средство для мытья посуды,бытовая химия,3,98.89,87.19,3,3
20250603005832-8964,тарелки,посуда,5,68.86,62.77,3,3
20250603005832-6340,тарелки,посуда,4,79.81,56.25,3,3
20250603005832-2137,кастрюля,посуда,4,12.38,7.52,3,3
20250603005832-6233,полотенца,текстиль,2,29.52,6.14,3,3
20250603005832-3577,кастрюля,посуда,4,98.6,69.8,3,3
20250603005832-5363,средство для мытья посуды,бытовая химия,7,67.85,62.04,3,3
20250603005832-1273,кастрюля,посуда,4,40.89,18.5,3,3
20250603005832-6097,тарелки,посуда,1,15.47,5.96,3,3
20250603005832-6273,тарелки,посуда,4,92.75,62.71,3,3
20250603005832-9666,порошок,бытовая химия,5,74.19,28.52,3,3
20250603005832-3105,простыни,текстиль,1,23.43,18.55,3,3
20250603005832-8238,средство для мытья посуды,бытовая химия,2,87.01,80.24,3,3
20250603005832-7897,полотенца,текстиль,2,91.55,44.34,3,3
20250603005832-1365,полотенца,текстиль,5,69.29,12.64,3,3
20250603005832-8590,полотенца,текстиль,4,31.27,27.5,3,3
20250603005832-1921,полотенца,текстиль,4,21.54,0.19,3,3
20250603005832-1151,тарелки,посуда,6,92.37,63.37,3,3
20250603005832-7429,тарелки,посуда,9,71.29,24.97,3,3
20250603005832-4938,кастрюля,посуда,6,40.96,6.02,3,3
20250603005832-2113,средство для мытья посуды,бытовая химия,6,10.28,4.59,3,3
