doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-9365,гель для стирки,бытовая химия,8,38.83,13.91,1,5
20250603005832-1505,наволочки,текстиль,7,87.17,33.31,1,5
20250603005832-5098,тарелки,посуда,9,15.3,11.26,1,5
20250603005832-6095,порошок,бытовая химия,2,83.26,26.85,1,5
20250603005832-7948,порошок,бытовая химия,5,51.82,8.99,1,5
20250603005832-6368,средство для мытья посуды,бытовая химия,9,43.03,4.23,1,5
20250603005832-2451,сковорода,посуда,6,72.37,71.84,1,5
20250603005832-5066,простыни,текстиль,7,47.76,42.77,1,5
20250603005832-6187,наволочки,текстиль,3,84.01,6.2,1,5
20250603005832-1283,простыни,текстиль,3,16.74,4.43,1,5
20250603005832-7660,наволочки,текстиль,9,66.28,18.13,1,5
20250603005832-6505,полотенца,текстиль,9,67.36,57.68,1,5
20250603005832-7744,средство для мытья посуды,бытовая химия,6,63.88,35.33,1,5
20250603005832-2865,простыни,текстиль,2,82.59,80.98,1,5
20250603005832-3171,простыни,текстиль,5,87.3,86.7,1,5
20250603005832-8413,полотенца,текстиль,4,93.82,73.37,1,5
20250603005832-1967,гель для стирки,бытовая химия,6,29.62,3.95,1,5
20250603005832-2081,полотенца,текстиль,9,65.0,15.02,1,5
20250603005832-8897,гель для стирки,бытовая химия,4,73.07,13.84,1,5
20250603005832-3187,средство для мытья посуды,бытовая химия,5,49.16,3.17,1,5
20250603005832-1500,сковорода,посуда,2,78.55,2.55,1,5
20250603005832-7591,средство для мытья посуды,бытовая химия,10,28.36,25.55,1,5
20250603005832-2981,гель для стирки,бытовая химия,8,42.17,4.61,1,5
20250603005832-1559,полотенца,текстиль,9,91.79,18.2,1,5
20250603005832-4869,сковорода,посуда,3,33.38,27.8,1,5
20250603005832-9915,кастрюля,посуда,2,49.17,39.82,1,5
20250603005832-5052,средство для мытья посуды,бытовая химия,8,38.95,3.61,1,5
