doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-5247,гель для стирки,бытовая химия,8,29.39,20.79,2,5
20250603005832-9274,тарелки,посуда,4,83.87,80.28,2,5
20250603005832-6593,сковорода,посуда,1,58.49,31.07,2,5
20250603005832-2381,гель для стирки,бытовая химия,6,75.19,74.53,2,5
20250603005832-7616,порошок,бытовая химия,1,40.58,38.31,2,5
20250603005832-9092,кастрюля,посуда,2,88.68,29.72,2,5
20250603005832-9745,наволочки,текстиль,5,74.19,64.37,2,5
20250603005832-4230,сковорода,посуда,8,42.24,29.05,2,5
20250603005832-5635,гель для стирки,бытовая химия,6,55.69,12.52,2,5
20250603005832-5569,простыни,текстиль,8,73.52,45.6,2,5
20250603005832-3863,тарелки,посуда,10,78.31,58.71,2,5
20250603005832-2024,гель для стирки,бытовая химия,7,96.77,66.35,2,5
20250603005832-4726,сковорода,посуда,5,26.2,8.31,2,5
20250603005832-7607,средство для мытья посуды,бытовая химия,5,48.85,43.99,2,5
20250603005832-9545,тарелки,посуда,7,77.19,35.84,2,5
20250603005832-8504,наволочки,текстиль,1,39.97,36.38,2,5
20250603005832-6700,полотенца,текстиль,7,74.52,73.64,2,5
20250603005832-7489,тарелки,посуда,2,64.02,42.54,2,5
20250603005832-4973,тарелки,посуда,7,16.86,11.91,2,5
20250603005832-3314,полотенца,текстиль,1,20.14,16.38,2,5
20250603005832-1138,порошок,бытовая химия,6,25.55,23.39,2,5
20250603005832-8370,средство для мытья посуды,бытовая химия,9,73.31,71.34,2,5
20250603005832-2499,средство для мытья посуды,бытовая химия,9,43.79,6.6,2,5
20250603005832-5425,порошок,бытовая химия,7,67.78,32.72,2,5
20250603005832-1023,порошок,бытовая химия,2,44.8,6.14,2,5
20250603005832-2933,порошок,бытовая химия,7,98.44,90.58,2,5
20250603005832-5000,наволочки,текстиль,10,84.36,18.94,2,5
20250603005832-1624,тарелки,посуда,10,91.42,33.28,2,5
20250603005832-6013,тарелки,посуда,10,35.39,21.5,2,5
20250603005832-1263,тарелки,посуда,10,36.48,21.07,2,5
20250603005832-4198,сковорода,посуда,3,95.59,32.89,2,5
20250603005832-4236,средство для мытья посуды,бытовая химия,5,56.58,18.97,2,5
20250603005832-5295,порошок,бытовая химия,1,70.06,12.27,2,5
20250603005832-6741,гель для стирки,бытовая химия,10,97.29,81.61,2,5
20250603005832-3219,наволочки,текстиль,3,28.32,20.09,2,5
20250603005832-6828,наволочки,текстиль,8,36.18,7.59,2,5
20250603005832-5226,средство для мытья посуды,бытовая химия,8,36.2,17.41,2,5
20250603005832-1565,порошок,бытовая химия,2,37.1,7.26,2,5
20250603005832-8061,простыни,текстиль,9,33.87,17.79,2,5
20250603005832-8642,сковорода,посуда,4,87.05,4.87,2,5
20250603005832-7309,тарелки,посуда,6,70.9,23.77,2,5
20250603005832-4381,средство для мытья посуды,бытовая химия,6,30.56,13.2,2,5
20250603005832-5712,сковорода,посуда,3,15.16,4.53,2,5
20250603005832-2039,порошок,бытовая химия,7,79.33,9.56,2,5
20250603005832-5517,гель для стирки,бытовая химия,9,47.03,17.84,2,5
20250603005832-9831,тарелки,посуда,3,17.82,17.25,2,5
20250603005832-8950,сковорода,посуда,8,46.63,34.39,2,5
20250603005832-9931,гель для стирки,бытовая химия,7,53.69,3.97,2,5
20250603005832-6955,наволочки,текстиль,3,51.51,30.06,2,5
20250603005832-9884,средство для мытья посуды,бытовая химия,9,81.02,33.97,2,5
20250603005832-1017,простыни,текстиль,10,76.68,44.84,2,5
20250603005832-2855,порошок,бытовая химия,1,83.38,72.07,2,5
20250603005832-2780,полотенца,текстиль,5,55.99,9.38,2,5
20250603005832-6884,кастрюля,посуда,9,11.36,6.27,2,5
20250603005832-3270,сковорода,посуда,3,31.53,27.3,2,5
20250603005832-3109,наволочки,текстиль,6,36.99,16.87,2,5
20250603005832-1429,средство для мытья посуды,бытовая химия,2,16.59,3.3,2,5
20250603005832-1916,тарелки,посуда,1,11.89,11.41,2,5
20250603005832-1627,наволочки,текстиль,2,36.75,33.38,2,5
20250603005832-7826,гель для стирки,бытовая химия,8,12.02,7.5,2,5
20250603005832-9990,полотенца,текстиль,8,79.55,67.48,2,5
20250603005832-4852,гель для стирки,бытовая химия,5,66.91,20.29,2,5
20250603005832-8210,наволочки,текстиль,10,39.14,10.05,2,5
20250603005832-5027,средство для мытья посуды,бытовая химия,10,37.05,14.1,2,5
