doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-1138,сковорода,посуда,4,71.46,4.62,4,4
20250603005832-3844,порошок,бытовая химия,5,41.89,24.03,4,4
20250603005832-2810,сковорода,посуда,10,59.33,38.4,4,4
20250603005832-5851,простыни,текстиль,2,64.77,1.8,4,4
20250603005832-6207,полотенца,текстиль,8,83.26,48.65,4,4
20250603005832-3794,средство для мытья посуды,бытовая химия,9,46.86,6.7,4,4
20250603005832-4334,простыни,текстиль,7,79.45,66.75,4,4
20250603005832-2811,наволочки,текстиль,3,99.2,40.82,4,4
20250603005832-5829,полотенца,текстиль,9,95.87,83.75,4,4
20250603005832-5158,наволочки,текстиль,6,45.66,3.57,4,4
20250603005832-6694,гель для стирки,бытовая химия,10,10.85,8.18,4,4
20250603005832-2805,кастрюля,посуда,2,19.26,12.75,4,4
20250603005832-1184,полотенца,текстиль,4,56.25,12.57,4,4
20250603005832-4152,гель для стирки,бытовая химия,6,51.86,29.94,4,4
20250603005832-8540,порошок,бытовая химия,8,52.49,22.05,4,4
20250603005832-5330,порошок,бытовая химия,10,29.71,11.32,4,4
20250603005832-6317,порошок,бытовая химия,5,40.03,7.92,4,4
20250603005832-8447,наволочки,текстиль,1,36.78,7.59,4,4
20250603005832-3247,тарелки,посуда,3,18.01,14.73,4,4
20250603005832-7679,порошок,бытовая химия,6,68.83,8.72,4,4
20250603005832-5345,простыни,текстиль,6,77.55,21.94,4,4
20250603005832-2843,кастрюля,посуда,10,27.84,4.98,4,4
20250603005832-6343,тарелки,посуда,7,26.58,21.55,4,4
20250603005832-1755,полотенца,текстиль,9,95.95,12.54,4,4
20250603005832-7400,наволочки,текстиль,2,87.62,52.15,4,4
20250603005832-2972,средство для мытья посуды,бытовая химия,7,39.39,27.58,4,4
20250603005832-8852,сковорода,посуда,1,69.44,23.24,4,4
20250603005832-1898,наволочки,текстиль,8,49.83,27.49,4,4
20250603005832-3264,гель для стирки,бытовая химия,3,94.7,18.81,4,4
20250603005832-8660,тарелки,посуда,4,25.46,6.37,4,4
20250603005832-6010,сковорода,посуда,5,95.18,17.83,4,4
20250603005832-5181,сковорода,посуда,6,67.35,57.4,4,4
20250603005832-5543,кастрюля,посуда,4,95.71,2.98,4,4
20250603005832-1875,сковорода,посуда,10,51.31,36.42,4,4
20250603005832-1345,средство для мытья посуды,бытовая химия,4,42.28,14.59,4,4
20250603005832-5032,сковорода,посуда,3,61.1,27.42,4,4
20250603005832-9619,средство для мытья посуды,бытовая химия,2,61.46,40.84,4,4
20250603005832-8973,сковорода,посуда,4,51.12,14.35,4,4
20250603005832-6236,наволочки,текстиль,8,26.86,6.78,4,4
20250603005832-1838,средство для мытья посуды,бытовая химия,9,37.85,12.12,4,4
20250603005832-6923,кастрюля,посуда,8,67.97,26.8,4,4
20250603005832-7201,простыни,текстиль,7,69.73,14.42,4,4
20250603005832-1256,средство для мытья посуды,бытовая химия,7,51.25,2.34,4,4
20250603005832-4904,полотенца,текстиль,6,20.63,2.12,4,4
20250603005832-5266,средство для мытья посуды,бытовая химия,4,37.34,16.12,4,4
20250603005832-2991,полотенца,текстиль,2,85.78,8.32,4,4
20250603005832-5478,тарелки,посуда,6,67.76,57.89,4,4
20250603005832-3017,гель для стирки,бытовая химия,5,39.84,39.73,4,4
20250603005832-4655,наволочки,текстиль,7,12.33,7.64,4,4
20250603005832-7668,средство для мытья посуды,бытовая химия,5,25.34,15.76,4,4
20250603005832-6925,гель для стирки,бытовая химия,7,57.53,55.79,4,4
20250603005832-5989,тарелки,посуда,1,35.42,23.56,4,4
20250603005832-4703,полотенца,текстиль,6,58.83,23.37,4,4
