doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-6483,простыни,текстиль,7,71.78,64.84,1,2
20250603005832-1513,сковорода,посуда,1,57.36,54.45,1,2
20250603005832-5862,тарелки,посуда,1,14.37,10.87,1,2
20250603005832-6790,кастрюля,посуда,8,48.0,15.87,1,2
20250603005832-9501,простыни,текстиль,10,39.48,2.53,1,2
20250603005832-2463,простыни,текстиль,3,54.77,6.98,1,2
20250603005832-8930,наволочки,текстиль,6,36.17,34.75,1,2
20250603005832-2459,кастрюля,посуда,4,52.8,30.1,1,2
20250603005832-5280,порошок,бытовая химия,3,49.0,25.92,1,2
20250603005832-1153,средство для мытья посуды,бытовая химия,5,12.39,2.08,1,2
20250603005832-9524,гель для стирки,бытовая химия,6,59.04,54.97,1,2
20250603005832-9885,кастрюля,посуда,9,87.62,67.24,1,2
20250603005832-5109,полотенца,текстиль,1,50.62,45.56,1,2
20250603005832-1023,средство для мытья посуды,бытовая химия,7,92.13,30.21,1,2
20250603005832-5284,гель для стирки,бытовая химия,9,80.51,7.89,1,2
20250603005832-3802,наволочки,текстиль,8,73.32,51.32,1,2
20250603005832-6951,сковорода,посуда,5,86.6,85.16,1,2
20250603005832-8112,средство для мытья посуды,бытовая химия,6,49.36,35.46,1,2
20250603005832-4860,порошок,бытовая химия,2,14.43,7.02,1,2
20250603005832-9819,наволочки,текстиль,6,92.63,46.19,1,2
20250603005832-5880,кастрюля,посуда,5,44.18,1.19,1,2
20250603005832-3096,полотенца,текстиль,9,18.35,16.39,1,2
20250603005832-5709,порошок,бытовая химия,10,15.6,4.2,1,2
20250603005832-9146,кастрюля,посуда,8,20.96,14.73,1,2
20250603005832-7193,сковорода,посуда,2,24.2,11.24,1,2
20250603005832-7520,простыни,текстиль,10,36.21,32.43,1,2
20250603005832-3131,простыни,текстиль,5,82.74,45.64,1,2
20250603005832-3847,полотенца,текстиль,5,97.75,24.59,1,2
20250603005832-3081,полотенца,текстиль,4,25.03,7.68,1,2
20250603005832-7567,гель для стирки,бытовая химия,2,60.99,54.69,1,2
20250603005832-2254,сковорода,посуда,7,54.93,53.72,1,2
20250603005832-4568,простыни,текстиль,7,95.04,2.1,1,2
20250603005832-5220,порошок,бытовая химия,10,75.12,52.37,1,2
20250603005832-1732,гель для стирки,бытовая химия,9,49.19,10.32,1,2
20250603005832-7029,гель для стирки,бытовая химия,3,49.62,43.93,1,2
20250603005832-3115,полотенца,текстиль,8,31.68,0.22,1,2
20250603005832-2000,кастрюля,посуда,9,43.55,1.39,1,2
20250603005832-7364,наволочки,текстиль,1,27.49,20.03,1,2
20250603005832-1239,простыни,текстиль,9,49.93,16.93,1,2
20250603005832-9024,средство для мытья посуды,бытовая химия,3,14.72,4.63,1,2
20250603005832-9007,простыни,текстиль,3,38.34,7.11,1,2
20250603005832-6835,гель для стирки,бытовая химия,2,68.18,66.37,1,2
20250603005832-7091,тарелки,посуда,5,38.28,28.97,1,2
20250603005832-8996,наволочки,текстиль,8,12.45,0.64,1,2
20250603005832-2513,тарелки,посуда,6,74.31,0.51,1,2
20250603005832-7313,средство для мытья посуды,бытовая химия,7,76.4,64.24,1,2
20250603005832-3866,тарелки,посуда,6,56.89,50.94,1,2
20250603005832-3363,полотенца,текстиль,6,69.02,9.44,1,2
20250603005832-5957,кастрюля,посуда,3,66.13,40.03,1,2
20250603005832-9678,гель для стирки,бытовая химия,7,73.03,20.39,1,2
20250603005832-6444,гель для стирки,бытовая химия,7,94.48,10.92,1,2
20250603005832-6730,наволочки,текстиль,6,37.29,21.59,1,2
20250603005832-6117,средство для мытья посуды,бытовая химия,9,64.08,40.8,1,2
20250603005832-6715,средство для мытья посуды,бытовая химия,10,71.54,55.96,1,2
20250603005832-9662,простыни,текстиль,5,49.29,17.09,1,2
20250603005832-9772,сковорода,посуда,5,10.31,3.85,1,2
20250603005832-5566,порошок,бытовая химия,1,54.43,23.93,1,2
20250603005832-5044,порошок,бытовая химия,9,58.33,8.26,1,2
20250603005832-6992,кастрюля,посуда,3,55.55,33.42,1,2
20250603005832-5007,полотенца,текстиль,7,13.76,9.03,1,2
20250603005832-9247,сковорода,посуда,1,25.12,16.42,1,2
20250603005832-1184,простыни,текстиль,1,25.01,13.41,1,2
20250603005832-3741,тарелки,посуда,4,93.68,87.87,1,2
20250603005832-8108,полотенца,текстиль,9,55.47,48.49,1,2
20250603005832-1694,полотенца,текстиль,9,67.24,9.32,1,2
20250603005832-5297,полотенца,текстиль,5,39.84,37.41,1,2
20250603005832-3481,порошок,бытовая химия,3,41.65,31.34,1,2
20250603005832-4401,кастрюля,посуда,5,27.61,26.08,1,2
20250603005832-1212,порошок,бытовая химия,6,62.41,52.17,1,2
20250603005832-6887,порошок,бытовая химия,9,38.75,34.5,1,2
20250603005832-3296,сковорода,посуда,3,99.3,90.7,1,2
20250603005832-3468,кастрюля,посуда,3,61.42,0.04,1,2
20250603005832-7782,простыни,текстиль,7,10.55,2.96,1,2
20250603005832-5139,средство для мытья посуды,бытовая химия,7,84.54,1.58,1,2
20250603005832-9810,гель для стирки,бытовая химия,6,19.03,14.59,1,2
20250603005832-4960,простыни,текстиль,4,63.63,34.77,1,2
20250603005832-2932,наволочки,текстиль,7,29.82,11.48,1,2
20250603005832-4226,кастрюля,посуда,4,65.49,56.21,1,2
