doc_id,item,category,amount,price,discount,shop_num,cash_num
20250603005832-4473,полотенца,текстиль,6,89.55,58.69,10,5
20250603005832-1271,наволочки,текстиль,8,35.46,11.92,10,5
20250603005832-6542,полотенца,текстиль,9,23.97,18.18,10,5
20250603005832-7317,кастрюля,посуда,10,34.38,2.06,10,5
20250603005832-8999,простыни,текстиль,9,17.27,8.01,10,5
20250603005832-6606,гель для стирки,бытовая химия,7,85.86,70.77,10,5
20250603005832-9714,простыни,текстиль,10,63.43,32.04,10,5
20250603005832-5761,сковорода,посуда,8,10.73,2.81,10,5
20250603005832-1205,простыни,текстиль,7,96.32,38.3,10,5
20250603005832-7056,кастрюля,посуда,1,80.42,4.98,10,5
20250603005832-7910,гель для стирки,бытовая химия,7,31.55,19.46,10,5
20250603005832-1967,полотенца,текстиль,7,88.2,21.62,10,5
20250603005832-5379,порошок,бытовая химия,5,84.43,3.98,10,5
20250603005832-3121,полотенца,текстиль,7,40.66,0.08,10,5
20250603005832-9655,средство для мытья посуды,бытовая химия,8,97.03,23.35,10,5
20250603005832-6182,кастрюля,посуда,3,45.95,34.43,10,5
20250603005832-5589,полотенца,текстиль,6,78.21,21.87,10,5
20250603005832-4224,тарелки,посуда,8,36.1,0.87,10,5
20250603005832-5458,простыни,текстиль,6,94.17,20.35,10,5
20250603005832-5283,полотенца,текстиль,6,94.49,70.33,10,5
20250603005832-2233,гель для стирки,бытовая химия,9,32.87,2.92,10,5
20250603005832-4875,наволочки,текстиль,8,24.78,2.59,10,5
20250603005832-3364,порошок,бытовая химия,3,50.11,17.07,10,5
20250603005832-5387,сковорода,посуда,7,24.78,18.65,10,5
20250603005832-5782,тарелки,посуда,4,24.61,6.49,10,5
20250603005832-4342,тарелки,посуда,10,55.53,38.39,10,5
20250603005832-7812,тарелки,посуда,7,18.28,5.19,10,5
20250603005832-6633,сковорода,посуда,3,23.25,5.45,10,5
20250603005832-4873,средство для мытья посуды,бытовая химия,7,22.71,5.36,10,5
20250603005832-1015,гель для стирки,бытовая химия,6,29.45,28.91,10,5
20250603005832-5915,кастрюля,посуда,10,66.68,16.62,10,5
20250603005832-4301,порошок,бытовая химия,8,65.24,20.65,10,5
20250603005832-4887,тарелки,посуда,3,64.13,54.95,10,5
20250603005832-3874,тарелки,посуда,4,79.93,30.2,10,5
20250603005832-7617,наволочки,текстиль,3,97.06,62.31,10,5
20250603005832-8479,тарелки,посуда,10,40.17,38.55,10,5
20250603005832-6563,порошок,бытовая химия,10,84.13,71.58,10,5
20250603005832-8880,наволочки,текстиль,2,19.39,3.37,10,5
20250603005832-4748,наволочки,текстиль,4,19.55,8.13,10,5
20250603005832-8090,кастрюля,посуда,10,67.18,32.34,10,5
20250603005832-7063,тарелки,посуда,3,52.05,29.79,10,5
20250603005832-1473,полотенца,текстиль,10,51.71,41.52,10,5
20250603005832-5493,полотенца,текстиль,5,36.71,7.28,10,5
20250603005832-5541,порошок,бытовая химия,4,30.19,25.92,10,5
20250603005832-6674,гель для стирки,бытовая химия,2,26.77,24.08,10,5
20250603005832-4076,тарелки,посуда,7,64.72,49.54,10,5
20250603005832-8656,сковорода,посуда,10,73.67,68.21,10,5
20250603005832-9912,кастрюля,посуда,10,18.15,15.79,10,5
20250603005832-3618,тарелки,посуда,7,12.33,2.09,10,5
20250603005832-2535,тарелки,посуда,1,98.18,62.25,10,5
20250603005832-5099,сковорода,посуда,4,62.68,50.8,10,5
20250603005832-3466,наволочки,текстиль,9,24.39,2.19,10,5
20250603005832-3571,сковорода,посуда,7,78.68,20.41,10,5
20250603005832-6599,кастрюля,посуда,6,43.39,14.95,10,5
20250603005832-7204,наволочки,текстиль,2,98.14,73.25,10,5
20250603005832-1976,гель для стирки,бытовая химия,2,49.72,46.55,10,5
20250603005832-5977,простыни,текстиль,4,22.95,7.75,10,5
20250603005832-3503,порошок,бытовая химия,3,48.73,22.52,10,5
20250603005832-4541,простыни,текстиль,10,47.13,16.38,10,5
20250603005832-6907,наволочки,текстиль,7,93.79,83.32,10,5
20250603005832-6364,порошок,бытовая химия,8,81.18,30.58,10,5
20250603005832-4740,простыни,текстиль,1,49.43,0.32,10,5
20250603005832-6999,гель для стирки,бытовая химия,10,28.55,12.44,10,5
